School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Wins,Losses,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,T-Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank,Efficiency Avg,Season
Appalachian State,NA,NA,7,6,155,181,SB,18-15,18,15,98.29503598736834,249,101.51745335959748,161,0.40830957386570066,206,11-9,0.47357287040264356,0.4272212278441607,0.4881659705580594,0.55,-7.799545291352948,180,205,2020
Arizona,NA,NA,7,5,33,14,P12,21-11,21,11,110.85140242436381,40,91.20896077731146,9,0.9040389940143193,13,10-8,0.6891234458183908,0.5808822478323215,0.7608786056275965,0.5555555555555556,0.808942521820052,43,24.5,2020
Arizona State,NA,NA,8,3,34,54,P12,20-11,20,11,106.13703438747723,103,94.37977068464973,41,0.7941540224768626,59,11-7,0.6901797735377001,0.5752089636752625,0.7732142473272385,0.6111111111111112,0.9448702083026107,40,72,2020
Arkansas,NA,NA,4,10,44,43,SEC,20-12,20,12,108.86391728275214,54,96.05479958398101,63,0.808387661586536,52,7-11,0.6668856088547407,0.5594488675259531,0.7519054636590345,0.3888888888888889,-1.2715661712857034,64,58.5,2020
Arkansas-Pine Bluff,NA,NA,1,9,347,348,SWAC,4-26,4,26,80.11915696207238,353,104.27527888262122,228,0.046068069216738415,349,3-15,0.3813569031562007,0.657301254609022,0.19739400218765316,0.16666666666666666,-20.023068120310665,344,290.5,2020
Arkansas State,NA,NA,4,8,218,202,SB,16-16,16,16,102.22105714724057,176,108.70730451270612,306,0.3301526121295209,239,8-12,0.4493090828862782,0.4115810863936996,0.4717862668855348,0.4,-10.03738237438676,214,241,2020
Army,NA,NA,8,4,232,266,Pat,15-15,15,15,99.03988130406415,235,107.49222517358875,287,0.280536294768256,266,10-8,0.32824135610388877,0.3192395955433579,0.33621185967460326,0.5555555555555556,-11.282967210554332,237,261,2020
Auburn,NA,NA,8,2,5,27,SEC,25-6,25,6,111.0695587268891,37,96.05862741194063,64,0.841546015082365,39,12-6,0.673770695990629,0.5640105097858567,0.7530419415829644,0.6666666666666666,4.602663722678758,15,50.5,2020
Austin Peay,NA,NA,8,3,142,163,OVC,21-12,21,12,106.88833845906126,85,105.89409821067426,257,0.526841627745077,160,14-4,0.38996936664334186,0.4739058640337179,0.31811062828163233,0.7777777777777778,-5.965760524710141,142,171,2020
Ball State,NA,NA,7,1,175,112,MAC,18-13,18,13,99.47423097993814,227,93.71773980968791,33,0.6649713660374954,107,11-7,0.44695314533583436,0.3964000996140935,0.4834636783570916,0.6111111111111112,-7.3704729604125365,171,130,2020
Baylor,NA,NA,9,2,4,5,B12,26-4,26,4,114.45124957262684,13,88.38654137587352,3,0.9512900834882437,2,15-3,0.7062929488267754,0.5501870643621621,0.8103635384698508,0.8333333333333334,8.530061622316996,2,8,2020
Belmont,NA,NA,10,1,84,101,OVC,26-7,26,7,106.88083973864613,86,99.5413082509427,120,0.6938395184277744,98,15-3,0.35257620265136186,0.3988515948875326,0.3065454188464207,0.8333333333333334,-2.2508628455724295,76,103,2020
Bethune-Cookman,NA,NA,7,4,257,286,MEAC,15-14,15,14,94.50270056422664,312,105.60376332989873,251,0.21801795425453108,300,10-6,0.28599671007504124,0.4299585500330802,0.16902771510913456,0.625,-10.065059008097041,215,281.5,2020
Binghamton,NA,NA,3,9,307,332,AE,10-19,10,19,98.91096822135049,238,117.10354877057419,346,0.12546756863216452,337,4-12,0.35042192093515867,0.3672625491676653,0.33673891049624677,0.25,-14.94580242838152,301,292,2020
Boise State,NA,NA,8,5,72,90,MWC,20-12,20,12,105.89236090559734,108,98.63591144571491,101,0.6934628304377711,99,11-7,0.5684637666171337,0.49242901969000713,0.5897359978401382,0.6111111111111112,-2.428909998267841,78,104.5,2020
Boston College,NA,NA,4,10,158,157,ACC,13-19,13,19,99.74784621939516,223,99.16287381846885,113,0.5169036598528187,167,7-13,0.6912194092174112,0.505484137347363,0.7879024675741372,0.35,-6.968691896333677,159,168,2020
Boston University,NA,NA,8,2,139,160,Pat,21-13,21,13,102.5545439949132,172,103.07068646014366,200,0.4855708302599159,176,12-6,0.3705716074182916,0.4496504866945079,0.3138303933672016,0.6666666666666666,-7.7635053604348165,179,186,2020
Bowling Green State,NA,NA,7,2,67,159,MAC,21-10,21,10,104.35209189930816,136,103.33389708001374,207,0.5281601643259389,158,12-6,0.4710071154537669,0.38247977137327555,0.5349435306230108,0.6666666666666666,-3.8910487117233585,103,171.5,2020
Bradley,NA,NA,7,3,83,102,MVC,23-11,23,11,106.61503059838984,94,100.51890512160412,144,0.6630922205658571,108,11-7,0.4966780908329111,0.40157738375445906,0.5598906425956715,0.6111111111111112,-4.099147901514502,107,119,2020
Brigham Young,NA,NA,10,2,15,9,WCC,24-8,24,8,115.87789698841252,8,95.97128302372963,61,0.8973031342716132,17,13-3,0.6148660879279151,0.6083682212644553,0.6069836062603268,0.8125,2.7402645238613847,27,34.5,2020
Brown,NA,NA,8,4,166,225,Ivy,15-12,15,12,96.4847333664535,280,99.85932916760929,128,0.40243162833050544,209,8-6,0.4547804342270896,0.4022899562914505,0.503521592310183,0.5714285714285714,-6.5295852308029225,151,204,2020
Bryant,NA,NA,5,7,258,242,NEC,15-17,15,17,96.92973340625126,270,103.97264911694491,220,0.30860953330631186,251,7-11,0.3318502160759619,0.39655932513189646,0.2742253841114206,0.3888888888888889,-12.646563904643308,262,245,2020
Bucknell,NA,NA,4,6,217,239,Pat,14-20,14,20,95.09181367387839,304,102.78371857164241,187,0.2901785829200676,260,8-10,0.42057150392919623,0.5484765867124578,0.33515124319469486,0.4444444444444444,-14.023505254292687,283,245.5,2020
Buffalo,NA,NA,7,3,111,146,MAC,20-12,20,12,104.06138077478381,143,101.77754906186604,170,0.5634562087690084,145,11-7,0.48941373507559444,0.45316941144010414,0.5254830538721205,0.6111111111111112,-5.703407574069337,136,156.5,2020
Butler,NA,NA,7,5,25,19,BE,22-9,22,9,112.66568101589269,24,94.6061301392636,46,0.8817470984388237,24,10-8,0.7165402773654093,0.5515350468614922,0.8357107216182385,0.5555555555555556,4.494406007690194,16,35,2020
Cal Poly,NA,NA,3,9,327,323,BW,7-23,7,23,95.88488300679293,289,108.95721436558736,310,0.18697608436806817,314,4-12,0.4495911976914849,0.5187823175426142,0.3890489678217467,0.25,-16.465616700106676,321,299.5,2020
Cal State Bakersfield,NA,NA,3,7,295,283,WAC,12-19,12,19,96.31020576570748,284,104.1342049441698,224,0.28941614051597647,261,6-10,0.3885263560121249,0.4306772074585286,0.34900993278112147,0.375,-13.23645325534184,272,254,2020
Cal State Fullerton,NA,NA,5,7,297,261,BW,11-20,11,20,95.24149536710254,301,105.4558737696533,247,0.23656875658309076,290,6-10,0.4308798218449237,0.48211023350678184,0.3828513109119316,0.375,-14.07385814820454,286,274,2020
Cal State Long Beach,NA,NA,5,7,280,306,BW,11-21,11,21,94.31937042909442,313,104.59960568564037,234,0.23331048300271578,291,6-10,0.48411882230261,0.5849805465218764,0.38325709808334374,0.375,-13.22540237758163,271,273.5,2020
Cal State Northridge,NA,NA,8,2,202,233,BW,15-17,15,17,107.40600282900496,77,113.53821548306192,336,0.3455813553380355,232,10-6,0.4399938245457777,0.5106211528866895,0.36936649620486584,0.625,-10.764951691133492,229,206.5,2020
California Baptist,NA,NA,7,2,206,200,WAC,21-10,21,10,104.8258313863209,125,108.57970040547077,303,0.40020312676124375,210,10-6,0.3151761897691383,0.2936294021278749,0.3353763031828226,0.625,-6.215376779887038,147,214,2020
Campbell,NA,NA,4,10,285,258,BSth,15-16,15,16,97.72207701320852,256,104.28427327605468,229,0.3213836726407867,242,6-12,0.284646835843389,0.30694989592032945,0.2703505324938877,0.3333333333333333,-13.022213017209383,268,242.5,2020
Canisius,NA,NA,4,10,272,253,MAAC,12-20,12,20,97.32696110312806,266,106.58429139125718,272,0.2602073524897509,276,7-13,0.3714808525810794,0.4680598476271866,0.31947296288148996,0.35,-15.690721525785763,312,269,2020
Central Arkansas,NA,NA,5,9,278,315,Slnd,10-21,10,21,97.33566785376307,265,107.24965564914622,280,0.24686009223996166,285,9-11,0.45679874047431757,0.6538298681182777,0.34843162027013946,0.45,-13.666576314919608,276,272.5,2020
Central Connecticut State,NA,NA,3,11,346,347,NEC,4-27,4,27,90.7805648102623,342,113.27758597437784,335,0.0726919507662917,345,3-15,0.38084714912634593,0.4742910140964661,0.3133599133145924,0.16666666666666666,-21.87449886446497,349,338.5,2020
Central Florida,NA,NA,5,8,120,124,Amer,16-14,16,14,104.23353224933425,140,98.1573838625664,92,0.6661248428717554,106,7-11,0.5924861044078511,0.44738480495931715,0.6892203040402074,0.3888888888888889,-5.324970399536084,127,116,2020
Central Michigan,NA,NA,3,4,239,198,MAC,14-18,14,18,102.02014054862593,181,105.98015690710915,258,0.39223224150829866,212,7-11,0.46762481737150025,0.4014911232667208,0.506483980831738,0.3888888888888889,-11.012488055385992,235,219.5,2020
Charleston Southern,NA,NA,4,7,284,316,BSth,14-18,14,18,95.81793987907497,290,108.59004541181613,304,0.1917013669787827,312,7-11,0.31578108127859555,0.4217161952599906,0.2459296832191687,0.3888888888888889,-13.483180566674156,274,297,2020
Charlotte,NA,NA,6,4,187,176,CUSA,16-13,16,13,98.80187000709547,241,98.02934391133097,89,0.5225524892460923,162,10-8,0.48593802422335997,0.38927478180036174,0.5450100057040811,0.5555555555555556,-6.981660561891222,161,165,2020
Chattanooga,NA,NA,7,5,136,153,SC,20-13,20,13,106.76641503640599,88,104.11655920472289,223,0.5717567704027069,139,10-8,0.43940705668907803,0.35464815501405195,0.47966685177628204,0.5555555555555556,-6.465090312738191,150,155.5,2020
Chicago State,NA,NA,0,9,348,353,WAC,4-25,4,25,85.60849270063213,350,120.40005068706745,350,0.01941872339336142,353,0-14,0.3809114567709427,0.38239749608915446,0.37931927178714436,0,-20.060331340893278,346,350,2020
Cincinnati,NA,NA,9,1,30,51,Amer,20-10,20,10,108.60619559855222,60,94.84841689647513,52,0.8260169156703078,47,13-5,0.6612445009384484,0.5998355925888982,0.7021837731714821,0.7222222222222222,0.21285337788807102,48,56,2020
Citadel,NA,NA,0,10,328,339,SC,6-24,6,24,95.26849919395434,298,110.69559793174648,321,0.15110303045648202,326,0-18,0.45292975933257795,0.32500777492485855,0.5257912882969784,0,-17.638248178539534,332,309.5,2020
Clemson,NA,NA,5,9,110,81,ACC,16-15,16,15,103.8367024367115,146,93.45066431839086,31,0.7706415552849968,71,9-11,0.6841735312863583,0.49859872621479856,0.7769066140694326,0.45,-3.2766946775806614,92,88.5,2020
Cleveland State,NA,NA,4,7,279,304,Horz,11-21,11,21,92.56267010534097,335,105.50166104401077,248,0.1817302170892365,318,7-11,0.434201054249734,0.5344220059346114,0.3626619256318651,0.3888888888888889,-15.061599480139934,304,291.5,2020
Coastal Carolina,NA,NA,4,8,198,188,SB,16-17,16,17,104.3586861143782,135,106.50631975927729,271,0.4417013112633366,195,8-12,0.4514432797737296,0.3693188721445513,0.4851526709824456,0.4,-10.655503873752743,224,203,2020
Colgate,NA,NA,9,1,94,121,Pat,25-9,25,9,106.1529108898027,102,103.35579389380639,208,0.5761742050581946,137,14-4,0.3550253659809195,0.4396985164741703,0.30398080453939375,0.7777777777777778,-3.947193916520094,105,155,2020
College of Charleston,NA,NA,6,4,156,152,CAA,17-14,17,14,104.16454384974526,142,104.38954635560552,231,0.4937968201493371,174,11-7,0.48910258769430504,0.5560538183197713,0.44205277422443845,0.6111111111111112,-7.443615779230191,173,186.5,2020
Colorado,NA,NA,6,5,28,25,P12,21-11,21,11,108.91240966822312,52,94.43046898939187,44,0.837646784925988,42,10-8,0.675598856013954,0.5728374885643219,0.7520420245006094,0.5555555555555556,0.6889376373890508,44,48,2020
Colorado State,NA,NA,8,5,105,106,MWC,20-12,20,12,108.70487055819257,58,103.04712134668202,197,0.6490070911992772,113,11-7,0.5490080051973543,0.5089418509318564,0.5900914895559003,0.6111111111111112,-3.2827300783241724,93,127.5,2020
Columbia,NA,NA,0,8,334,317,Ivy,6-24,6,24,95.7159409173552,292,105.84704465799717,256,0.23920963624831582,287,1-13,0.466891136111037,0.41470393026329244,0.526533657079888,0.07142857142857142,-17.464349181912755,329,274,2020
Connecticut,NA,NA,9,5,69,60,Amer,19-12,19,12,108.6447087642448,59,96.30011664776814,65,0.8001216695463883,56,10-8,0.6168273859861847,0.4962696908670299,0.7038968324611299,0.5555555555555556,-2.2302920341263426,75,62,2020
Coppin State,NA,NA,7,7,323,322,MEAC,11-20,11,20,88.9221414137597,347,105.27946144538129,244,0.12544392381770297,338,7-9,0.3306863297374905,0.5242088034357221,0.14925901064539848,0.4375,-15.458800800325116,310,295.5,2020
Cornell,NA,NA,3,7,322,293,Ivy,7-20,7,20,101.61734687753885,189,109.99253844453196,319,0.28684022165985323,262,4-10,0.4562379793668076,0.38780895800966014,0.5197792134841588,0.2857142857142857,-14.178816963590181,287,254,2020
Creighton,NA,NA,10,1,12,11,BE,24-7,24,7,120.58326163185468,2,96.43358818969676,67,0.9289115095189115,7,13-5,0.7034757466971883,0.5277935293630118,0.8303573481052047,0.7222222222222222,6.092213810210032,9,34.5,2020
Dartmouth,NA,NA,5,6,243,211,Ivy,12-17,12,17,96.55121331444599,279,99.39982788358212,117,0.417174488346091,202,5-9,0.44477571419194784,0.39187279763244853,0.5014574105056971,0.35714285714285715,-11.620696778414914,244,198,2020
Davidson,NA,NA,7,7,108,75,A10,16-14,16,14,113.07955290542701,20,101.66913815806143,168,0.7726313800587173,68,10-8,0.5879572875727024,0.56554274020968,0.6029003191480504,0.5555555555555556,-5.072164768946414,124,94,2020
Dayton,NA,NA,12,1,2,3,A10,29-2,29,2,119.49209346946179,3,93.39583421832008,29,0.9444668172782047,4,18-0,0.5881879304325852,0.5349402124419931,0.6266446156480129,1,6.785978315436189,6,16,2020
Delaware,NA,NA,9,4,123,180,CAA,22-11,22,11,106.60045270608984,95,105.39739775945542,245,0.5325844626458718,157,11-7,0.40994585789812077,0.3451603639838441,0.4378376196564683,0.6111111111111112,-5.71470972368441,137,170,2020
Delaware State,NA,NA,3,9,350,345,MEAC,6-26,6,26,93.91434630303628,325,117.65049766068698,348,0.06969689651792814,347,4-12,0.25191703883440736,0.357146508127888,0.17436220556562299,0.25,-23.003834186267312,351,336.5,2020
Denver,NA,NA,3,8,336,326,Sum,7-24,7,24,94.85552328374246,305,106.9419845631264,275,0.20113543364707911,307,3-13,0.4417639636195212,0.4567655573669357,0.4176009254053687,0.1875,-18.14493316464594,336,290,2020
DePaul,NA,NA,2,10,119,86,BE,16-16,16,16,102.59262511637266,171,95.2741377503776,56,0.7007953289046148,96,3-15,0.688350260888034,0.4448130567957896,0.8558353749525401,0.16666666666666666,-2.561206868917095,82,113.5,2020
Detroit Mercy,NA,NA,4,9,310,307,Horz,8-23,8,23,99.74445075153542,224,111.83741995405268,325,0.211484551614758,304,6-12,0.45597562447732315,0.5897664700247649,0.35934890269305964,0.3333333333333333,-16.547602555950238,324,274.5,2020
Drake,NA,NA,5,8,137,156,MVC,20-14,20,14,102.71878260695343,170,101.01018265884633,150,0.5480752889465161,152,8-10,0.49881488598194984,0.3679693391836889,0.5724294059012138,0.4444444444444444,-6.149899964701142,146,160,2020
Drexel,NA,NA,2,8,230,237,CAA,14-19,14,19,99.87813854161317,219,106.07718881587284,260,0.33348021902992453,237,6-12,0.4504995563535805,0.44060847805549813,0.4595177275743915,0.3333333333333333,-12.863890882492273,265,239.5,2020
Duke,NA,NA,9,2,10,6,ACC,25-6,25,6,115.2564578710815,9,91.92037527862091,16,0.9309725456737966,6,15-5,0.6788508652396985,0.5805271452000937,0.7329289112614812,0.75,5.092200583599642,11,12.5,2020
Duquesne,NA,NA,6,5,57,94,A10,21-9,21,9,106.98280667920974,84,98.89596049662397,110,0.711749687253014,91,11-7,0.5353206868519932,0.4201899401724973,0.6120745179716574,0.6111111111111112,-1.6817188997814072,68,97,2020
East Carolina,NA,NA,3,11,260,208,Amer,11-20,11,20,99.18345129320292,229,103.26637793317701,204,0.3860568626139728,216,5-13,0.5490853138066211,0.32675610205426076,0.7096564111833259,0.2777777777777778,-12.04245682705527,251,216.5,2020
East Tennessee State,NA,NA,11,1,21,36,SC,30-4,30,4,107.14721568801548,82,97.36182375168076,79,0.7505129493056594,76,16-2,0.42442377089741207,0.36841196002640014,0.46009469155856003,0.8888888888888888,2.4829468623182382,29,80.5,2020
Eastern Illinois,NA,NA,7,5,269,241,OVC,17-15,17,15,98.38876010916175,248,103.29753338549793,205,0.36357067752794525,224,9-9,0.31570999947124306,0.309526179635281,0.310825102565716,0.5,-10.548225213376401,222,226.5,2020
Eastern Kentucky,NA,NA,8,4,220,291,OVC,16-17,16,17,96.62839991266736,277,103.44496135399682,211,0.3134755345267526,249,12-6,0.37632109171451916,0.4353479952370136,0.3194637075363945,0.6666666666666666,-11.472307574157888,240,244,2020
Eastern Michigan,NA,NA,6,5,178,191,MAC,16-16,16,16,94.81914953679654,306,96.7060754661924,72,0.44358976725201205,194,6-12,0.4705381832975805,0.38731345423645325,0.5192049791832832,0.3333333333333333,-9.18504390509455,203,189,2020
Eastern Washington,NA,NA,10,1,61,135,BSky,23-8,23,8,103.9853519592456,145,102.04198492472581,177,0.5540271254046336,150,16-4,0.42602086922178983,0.4586121257933309,0.4080956781074422,0.8,-2.0759420686162544,73,161,2020
Elon,NA,NA,6,7,276,259,CAA,12-21,12,21,101.81316998323874,184,108.93558105671822,309,0.31483774388577984,248,7-11,0.4460482095052443,0.42056537387880205,0.461560139235637,0.3888888888888889,-14.563698577656952,296,246.5,2020
Evansville,NA,NA,0,10,291,264,MVC,9-23,9,23,96.89224535679256,271,106.36746770082453,265,0.254841853800294,279,0-18,0.511249553272933,0.38194072422223535,0.604436195282189,0,-16.05042567573547,316,268,2020
Fairfield,NA,NA,4,8,268,285,MAAC,12-20,12,20,89.33558920366539,344,101.52819553556591,162,0.1867495121947508,315,8-12,0.37339799241776483,0.4721448189777467,0.3268047000049338,0.4,-15.381836341209963,308,253,2020
Fairleigh Dickinson,NA,NA,7,5,281,281,NEC,11-19,11,19,101.77975028940084,185,112.39470933740992,330,0.2421614832122731,286,9-9,0.35947644659991507,0.4916980653196742,0.2805018238968045,0.5,-14.500846732745117,295,257.5,2020
Florida,NA,NA,7,4,42,29,SEC,19-12,19,12,112.61598746374044,26,95.89180735487622,60,0.8639833416011148,32,11-7,0.7143814481113334,0.671201901725698,0.7455666760565146,0.6111111111111112,0.1615651996293302,49,43,2020
Florida A&M,NA,NA,8,4,253,303,MEAC,12-15,12,15,94.75250060493406,308,107.09852777189309,276,0.19646578824091035,311,10-6,0.3701325500690349,0.6587284480254327,0.1717228702240114,0.625,-10.022184098791687,212,292,2020
Florida Atlantic,NA,NA,4,9,236,193,CUSA,17-15,17,15,99.91901109450532,217,100.90231751971243,149,0.47187505485820747,183,8-10,0.438345372982672,0.3355345904333261,0.5081895591978912,0.4444444444444444,-8.918822872951488,194,183,2020
Florida Gulf Coast,NA,NA,5,6,312,312,ASun,10-22,10,22,91.12629091742332,341,102.88142869020152,191,0.19856233854427702,310,7-9,0.391099740687972,0.45351330705435416,0.3338807090552797,0.4375,-16.539523329176077,323,266,2020
Florida International,NA,NA,5,6,168,170,CUSA,19-13,19,13,103.75611895255558,149,101.2974470878485,157,0.5685143121652267,142,9-9,0.4456451211271113,0.316390864126817,0.5387904194060266,0.5,-6.234403474421543,148,153,2020
Florida State,NA,NA,9,1,3,10,ACC,26-5,26,5,111.16202087593317,36,92.50565598639028,21,0.8921380249067109,20,16-4,0.6866361963788521,0.5529246788633594,0.760177531012373,0.8,6.854652013445017,4,28.5,2020
Fordham,NA,NA,1,13,298,244,A10,9-22,9,22,89.08930939346735,346,94.78745839484473,50,0.32894196973713946,240,2-16,0.4743002545637541,0.2632411801553537,0.6219022689286002,0.1111111111111111,-15.29840651025164,307,198,2020
Fresno State,NA,NA,6,7,231,161,MWC,11-19,11,19,104.62688400729722,130,103.95010004246357,219,0.5186488278410164,163,7-11,0.5387636130759472,0.4596999292245874,0.5931129711587763,0.3888888888888889,-11.00094954030585,234,174.5,2020
Furman,NA,NA,10,2,47,74,SC,25-7,25,7,106.58190824370891,96,98.00964903826623,88,0.7239719680523269,87,15-3,0.44291010400120207,0.4069355722688482,0.4630220456713976,0.8333333333333334,-0.7636440185729061,59,92,2020
Gardner-Webb,NA,NA,8,3,215,212,BSth,16-16,16,16,102.11770355422489,180,106.47402132402402,270,0.38215494196650723,218,11-7,0.3535965120097314,0.49808948039560813,0.2558575908083824,0.6111111111111112,-10.951618034670208,233,225,2020
George Mason,NA,NA,3,12,161,167,A10,17-15,17,15,101.03449618942764,199,101.21467895786901,155,0.4948775319190466,173,5-13,0.5269311851223552,0.4026685433022292,0.6286338981503113,0.2777777777777778,-6.960212295496007,158,177,2020
George Washington,NA,NA,4,10,214,219,A10,12-20,12,20,99.09160431665023,232,104.56492178882928,233,0.35017288889703485,227,6-12,0.5256134144061247,0.4042134995557424,0.62421732205744,0.3333333333333333,-11.996418923563464,250,232.5,2020
Georgetown,NA,NA,3,8,96,65,BE,15-17,15,17,110.18653888603731,43,100.12490888643686,137,0.7504842799404159,77,5-13,0.731971107674576,0.5595097229419764,0.8503624677403324,0.2777777777777778,-2.694630375018938,84,90,2020
Georgia,NA,NA,4,13,101,91,SEC,16-16,16,16,108.72997517398434,57,100.1099260794532,136,0.7210919991052527,88,5-13,0.6636719262615272,0.515515560604812,0.7698590640741176,0.2777777777777778,-4.218932333046217,108,96.5,2020
Georgia Southern,NA,NA,6,4,131,147,SB,20-13,20,13,101.14176321060984,196,99.20899706688462,114,0.5552449923772649,149,12-8,0.44938163582801277,0.4207762219558069,0.46240796262311556,0.6,-6.663838671422482,155,155,2020
Georgia State,NA,NA,6,4,127,134,SB,19-13,19,13,105.15035475140763,119,101.37656253008117,159,0.6035592289286456,131,12-8,0.4616500639599296,0.4683766487905503,0.45699660513918694,0.6,-6.662611097530421,154,139,2020
Georgia Tech,NA,NA,9,5,68,72,ACC,17-14,17,14,103.55202494462551,153,91.27781777726004,10,0.8101388999694508,51,11-9,0.6929815005754908,0.5472173526781052,0.7731517819190526,0.55,-1.9336966037474095,71,81.5,2020
Gonzaga,NA,NA,11,1,7,1,WCC,31-2,31,2,121.26725357169029,1,94.34525537954465,40,0.9471956497027252,3,15-1,0.5671003099090041,0.478304964440248,0.6202029654168675,0.9375,7.684181147643303,3,20.5,2020
Grambling,NA,NA,8,4,286,300,SWAC,17-15,17,15,92.99101399971674,331,104.80920157026765,242,0.20167712374229532,306,11-7,0.26915507642667624,0.3921992363277556,0.17982911898372736,0.6111111111111112,-10.94146406284038,232,286.5,2020
Grand Canyon,NA,NA,6,5,267,278,WAC,13-17,13,17,103.09053597103203,165,111.92130427260014,326,0.27985791494858553,267,8-8,0.3921552192463542,0.4401122459829549,0.3501928208518287,0.5,-12.177305462132423,255,245.5,2020
Green Bay,NA,NA,8,3,194,221,Horz,17-16,17,16,105.06941657278074,120,109.95316588320716,317,0.3722719051391486,221,11-7,0.4048814788259063,0.49505826186323065,0.34166547741598136,0.6111111111111112,-9.980178652086725,211,218.5,2020
Hampton,NA,NA,5,5,255,308,BSth,15-19,15,19,104.84992918843272,123,117.20230273178618,347,0.21741891005027492,302,8-10,0.3421829216010187,0.408682723904343,0.2809542626278924,0.4444444444444444,-14.072412368984601,285,235,2020
Hartford,NA,NA,6,3,222,246,AE,18-15,18,15,94.2430577478404,316,100.69920418627984,145,0.3182125475919991,245,9-7,0.32884625931554357,0.3458765798362997,0.31266842195795663,0.5625,-10.705504420003008,228,230.5,2020
Harvard,NA,NA,8,2,80,107,Ivy,21-8,21,8,104.503779300466,133,98.81966660760955,109,0.6554664985213664,112,10-4,0.47606234330561936,0.4834825891248995,0.4681120799278192,0.7142857142857143,-1.9801759198466957,72,121,2020
Hawaii,NA,NA,5,4,223,215,BW,17-13,17,13,97.38791730699208,263,99.67550819662004,121,0.4336424679163483,197,8-8,0.40486581712919417,0.4577813820750231,0.35856469780159367,0.5,-8.080406107610203,181,192,2020
High Point,NA,NA,4,10,318,333,BSth,9-23,9,23,94.02387465973061,320,113.68622507943383,337,0.1012169615927028,343,6-12,0.3624805669484967,0.4907953874332146,0.279111250234867,0.3333333333333333,-18.195423179060967,339,328.5,2020
Hofstra,NA,NA,9,1,82,118,CAA,26-8,26,8,108.87509204732342,53,102.5231682286747,185,0.6662546048815464,105,14-4,0.40299560729901984,0.3530589076289906,0.42326871820552014,0.7777777777777778,-2.7418435840471287,86,119,2020
Holy Cross,NA,NA,1,10,340,343,Pat,3-29,3,29,95.54780680154279,294,116.95582080421761,345,0.089077602244009485,344,2-16,0.39718796242614274,0.45523352492774866,0.357589171352534,0.1111111111111111,-24.152089379069963,352,319.5,2020
